feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,class
-3332.6585799434997,86.48628438169634,-33413.463633399806,-126.17513617416135,-729.9506725158514,-2.7112676212819444,67.58724819776327,152.38063792601284,54472.68233858148,0
-3043.045460926866,67.25454452078907,671100.2076870603,-150.43723801684425,-704.0846193193197,-12.97699801614711,124.09469941078517,493.6030921179172,82049.22856144223,0
-1661.7741176503143,11.100107047410129,-883812.1106916942,-86.76298031947397,-129.54402971826968,-14.361899200303057,23.820637713228894,-508.2513819446265,35716.58144388441,0
-3077.599425739196,-3.055069785806843,-1007794.2586315804,26.93175998319903,2.0552900519179413,-18.447015666054654,2.74207066694932,-342.3061823111723,118521.62589958694,0
-2694.3666832938557,21.812320889747248,-923592.2178361467,-34.854137825958325,-35.65954650438393,4.293002836377157,33.27030112375805,-212.3577402072461,125029.99390263305,0
-1461.4495032331295,34.80576240810864,-1019118.1307772271,-143.79901198865664,-128.65197443411233,-23.61439699861345,29.654754592500577,-289.7529704606091,23942.65729311988,0
-1447.526659472935,59.385790818327735,-536027.1390057099,-274.55876803652365,-191.8304590909904,-6.301829452051408,113.240557176207,360.138327266509,110524.46460498932,0
-645.8214255407571,16.320576417011015,-599952.037010584,-27.852817464717365,-429.7107724405828,-37.210113243950865,34.594310938195136,-331.27194741002194,52755.52508217824,0
-1316.0888379110852,-6.185397764055715,-784725.7114828036,-43.50250057050672,-72.20597045703454,-47.67027684060727,39.67417958121987,-22.25707187880365,51330.49994853479,0
-3315.954202226205,30.114462931860363,1113228.876364755,-105.74173508190513,-736.3989659491996,-26.587585216758473,121.83616077570387,-241.5095313418061,-27727.404678192906,0
-1632.4294094564368,25.361704148567725,-278587.31193224795,-151.93649223197374,-302.4875482525747,-24.00583752240896,84.78958475150532,-257.54988954026254,23050.65517983242,0
-4636.953159137215,11.296427726854603,-426435.75927674765,3.09536692709103,-101.51951263954018,6.665924485344792,55.900179446903884,-652.340185157565,133806.01203311695,0
-3085.59594293361,93.65705922829719,-909813.7750830987,-42.434620219965446,-407.1863573090851,1.5714466212241227,22.70350784741824,-290.91168619765347,163323.88048757653,0
-3422.8050167992715,59.8354056350256,-793857.1723852189,12.887667349135317,-307.4532706337736,6.95811859455401,32.981312454970464,350.7346306927645,146571.9087998168,0
-2996.244044173788,51.91853920583753,-190258.43856925765,-123.67368861934533,-330.46996898223256,-11.40946155067453,59.44185199594521,584.603260702138,66955.40385169003,0
-1647.487073939894,32.709954906619146,-844.8138749984624,-106.86350244391518,-579.0245599155623,-37.0446583660771,100.60636278126664,-210.1025833539054,-2654.929456570443,0
-1992.7967417671575,32.14230183360873,-985140.3371037365,-121.38863300187086,-167.37752892417484,-6.07844075576979,47.83308295047535,-559.4275211890458,74028.47935566101,0
-974.997953821898,18.219982438681342,-547451.9926499183,-127.77260816793209,-240.8145069654563,-61.515194664351334,65.02872390427446,-103.76953586960867,34981.10366890287,0
-2586.129625201576,37.6263448485948,-1098914.7360724846,-29.963221042199947,-143.97542544246917,-21.944472744475465,-1.8335812451989564,-650.2550957324689,59949.073391122874,0
-217.44895658112017,-3.746387938560858,-1327695.6302220537,-116.54676925766103,88.48556572287046,-47.39353689249491,41.72627394009423,10.094181455678337,87513.40412286583,0
-241.26669767566722,-2.1022497167882754,-260268.5251705417,-151.38003293841575,-319.5648810497057,-58.557046151458415,69.10117655158575,-504.5595889797969,-52497.16144931755,0
-1050.5422620618137,9.654881105733157,-1271764.693405507,-12.146503441121773,-205.68773344142537,-26.466448781580944,9.455278976354226,-200.94147525678378,68616.17991866499,0
-40.20608987971763,-39.50930041410514,-589738.636771932,-111.84705419302045,-155.3571476281404,-71.66740415907918,70.17628461081154,-252.0257467462577,-47572.69499405747,0
-1273.8178668721675,30.254365851958063,-1317201.585884059,25.059517604212427,-36.796751388838445,-18.259653174611714,-30.45523557502098,68.49339368528898,109774.12442944797,0
-2030.69515251109,55.438596397770844,-372274.4558886206,-57.95513675682753,-423.5650636069638,-5.123509334332259,53.950565295474625,-10.89292011517097,113687.3892940132,0
-2438.989439622315,10.264035367746294,-724302.0820382821,-19.711726766235522,-215.27346983726994,-15.722647318984738,35.80754069428487,-605.6533341889195,69269.84250195937,0
-919.6480223868215,71.65174600458016,-899711.4879375454,-195.62950960981294,-328.9471233941702,-24.331183585339303,38.30881304863626,132.0528044394133,33577.6981321371,0
-334.8819840807644,25.987891183679462,-495742.8038500672,-107.1937907993412,-469.7318667714307,-46.89992967015359,54.848893481980724,-67.70730089866245,-74802.68196823534,0
-1482.715233184623,-2.806403145796515,212101.8503786724,-130.44206188966245,-431.35057582976964,-52.750011341931966,78.4838269445646,-37.27762207880524,-70943.1903879576,0
-3698.9327588616748,51.082281513808546,-1428522.1950314334,-124.6366808737321,71.96915142626337,8.314874486562761,-15.790768175409864,-484.65669229367825,101667.45296165372,0
-2050.112396916643,46.079009732379475,70578.14149507879,-92.4790045100496,-524.3293866946095,-19.378212651336035,86.94743898504855,-578.1165690950231,51295.61008472081,0
-3350.46103464199,7.716922529087508,-1562316.279631179,46.03399794804828,-62.34804416468745,-34.60446299498504,-36.84271622638722,-7.928641053751401,79578.74002770211,0
-931.8346114623644,12.526074844128468,-2230061.1865034807,33.79716430580895,148.86771737461422,-25.504948775576928,-23.14435054026208,-177.85433425580084,189351.8553491382,0
-4644.394787388613,73.28907913630691,-361710.0881218021,-47.92944592970213,-434.2335104168768,32.17420446637473,26.561053118715662,196.88709386553865,86736.58735035779,0
-2094.3243074904876,-0.2695829195634012,-272899.613978553,-118.98852554747722,-240.54823530007192,-38.73370436531399,37.45501562662689,-64.73991294193914,-22374.19626631756,0
-714.5885030917101,69.31565485360497,-2365947.013947807,-16.211303289326498,-71.48143077326542,-2.240297052379839,-41.566666774273074,-754.6184063646524,115971.84960299003,0
-342.4562110700093,0.9883436582071576,-988229.0454350053,-2.190494473881575,-262.67372198224325,-44.9571161019019,34.920403632969716,-184.0874002041626,48875.58697669761,0
-1509.635077802772,-3.67566644202915,1457968.1729915447,-210.29033844094886,-658.0728590268997,-76.78090322635535,196.5720504480041,-169.80001273199986,-35117.787718580046,0
-1656.6823057777535,-9.324264656907769,-57373.598226598486,-119.05079637820242,-229.48436320319863,-40.425091772754,72.88917038476099,-435.3820867775097,-328.31168752772476,0
-1717.2848756595367,22.826500790640956,-866165.644704982,-55.63914683833838,-195.86529875203618,-24.22915255102064,63.28042951440822,-599.5900291624122,161530.45485141824,0
-1589.728537218969,13.905177601201403,-1243255.1270152782,-70.48031923919763,-60.77402928162686,-39.902014087094074,40.64144361734881,-399.33785138032954,123001.28418617185,0
-3945.832589395592,40.22814141123055,-3349.24273032553,-204.2909269876838,-322.7643695400122,3.049741679601187,73.13326254770986,391.4421977454312,-16897.4046155711,0
-1764.2031264495201,28.782510164675934,-906132.0193174103,-59.01346872187716,-221.00050742092617,-18.137695715622808,40.185267178383164,-41.0085329344494,79872.31358536748,0
-1033.5572795033897,28.189902429089777,-154711.83119447954,-107.49199169662002,-484.72863171850634,-32.85467748782936,79.9776353185113,-33.94375848293937,18739.32139266026,0
-1000.6272275226409,20.807303371376975,-366218.63599418616,-95.0128770373277,-404.1690492949948,-37.371554561742144,90.49872370597059,545.8761659037071,44595.146523989606,0
-2489.196738356451,44.8939806765559,-483552.6518881829,-6.698851872986733,-531.4107343345997,-0.7187432406605057,38.54206606675337,49.51177408577307,49669.330726749205,0
-3411.154852302088,21.78428223322136,-308026.7384361655,-111.94017949283344,-160.3892625897633,-20.574037184376863,25.108903658436045,287.59699745066814,-2281.346061685223,0
95.31250237583234,7.1860627566792745,-861154.5337946938,-132.370139060239,-144.43440866279832,-50.605820439737826,60.714338217948395,-345.08758232285555,49772.42658272097,0
-1369.4551582310955,42.51585027146145,207492.6022298536,-213.60874495388185,-463.1604441000901,-27.156524591328782,124.4063127486956,150.62256603379168,4421.532279791616,0
-2033.4560730238297,34.65122164696686,-719536.7391035199,-96.55302783795446,-242.67846838697304,-28.339407953437927,60.56354893529428,649.9126693285227,89051.50493158477,0
-1643.810270313232,55.32780334413605,-1346856.798284791,46.018804244766706,-369.02096601697957,-13.683060690998722,-43.8002511233158,470.8379886737363,60891.06985939682,0
-4233.48070555845,-12.628622330842337,-155692.79513703147,-31.858140658269907,-254.37261815358286,-27.18928838266242,25.061197786313404,792.4961635836542,-14085.412457390456,0
-83.86555530982464,21.134228548276774,-572709.078937293,-120.72852558542107,-376.44082643031544,-48.393615647696514,81.4288481886189,-608.4776007011175,29594.170468093533,0
-3189.387451230927,43.72720602881303,-1122847.4718620165,-44.242806479103216,-102.82415341642144,2.6003255456143872,-4.253376561175903,225.14626784081793,76477.70750300468,0
-843.6801157530349,-44.13040921229428,-224719.9625915842,-0.689747575481702,-239.45545814382302,-67.41388147739593,45.18459418550647,-155.69491193982932,-31701.923966678693,0
-1076.6726572749267,-20.992315190073256,-413374.0165927602,-41.72655723514655,-210.04689043737497,-54.435293377369554,42.045868342758396,-137.34962457734923,24976.925888101963,0
-1822.1950632188432,47.33629475534172,-1531459.4364135668,-31.310828944314714,-40.09441889815028,-32.057676371342794,-27.94375272916849,-143.3349081282399,98007.47474387648,0
-921.8156179176272,-5.714213666456811,-1228890.2880464704,-116.66351425975887,60.41413265840001,-32.13865517154701,39.17799533746832,-46.51947605342096,82289.55566933328,0
-2098.3429663200986,33.28236848750509,-514200.4105959362,-154.75677969699606,-197.67633877129032,-13.462765949182874,73.19727448526007,97.12998253303132,47984.49996487754,0
-4215.375252970411,47.48961764794976,-231830.61852117672,-10.511017580006758,-375.22896221535734,8.548929809055085,39.277089392088385,339.1087790787825,102544.55882632617,0
-800.1966070619002,6.895542779750762,-150101.59940104673,-103.55781893030749,-333.82006169323614,-45.53475866753456,91.51297239290695,-187.97965814679625,66717.53628552172,0
-2176.2154920075627,-5.439684718566176,-747786.029413521,-68.48973445511143,-37.635367721463325,-19.71859877001225,31.795704379056964,-206.0825892917909,52165.033329576836,0
-2619.5892461441035,-2.367792445235061,-472833.7983095294,-75.49459844553434,-138.91215834490092,-12.113563081815467,65.48652784213887,109.50303480756425,46636.82465015092,0
